,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade
7689,2014-01-02,416,TTH2,11,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7690,2014-01-02,424,TTH2,12,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7691,2015-01-01,342,TTH2,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7692,2015-01-01,343,TTH2,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7693,2015-01-01,347,TTH2,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7694,2015-01-01,348,TTH2,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7695,2015-01-01,349,TTH2,05,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7696,2015-01-01,352,TTH2,06,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7697,2015-01-01,356,TTH2,07,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7698,2015-01-01,374,TTH2,08,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7699,2015-01-01,386,TTH2,09,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7700,2015-01-01,409,TTH2,10,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
