,ident,echelon,period,grade
5957,32440,8,2011-01-31,795
5966,32471,8,2011-01-31,793
5980,32476,8,2011-01-31,793
5990,32477,10,2011-01-31,795
6002,32490,9,2011-01-31,793
6007,32518,8,2011-01-31,795
6011,32566,8,2011-01-31,795
6016,32578,9,2011-01-31,794
6021,32580,11,2011-01-31,794
6031,32681,6,2011-01-31,796
6045,32763,9,2011-01-31,793
6053,32858,7,2011-01-31,794
6059,32886,4,2011-01-31,796
6065,32924,3,2011-01-31,796
6083,32956,7,2011-01-31,796
6092,33048,7,2011-01-31,796
6099,33050,6,2011-01-31,796
6113,33142,8,2011-01-31,793
6127,33168,7,2011-01-31,793
6141,33174,11,2011-01-31,793
6144,33186,10,2011-01-31,794
6150,33208,7,2011-01-31,793
6160,33209,9,2011-01-31,795
6166,33249,4,2011-01-31,793
6180,33295,9,2011-01-31,793
6186,33306,7,2011-01-31,796
6200,33309,9,2011-01-31,793
6207,33365,7,2011-01-31,795
6213,33376,10,2011-01-31,794
6217,33430,4,2011-01-31,796
6226,33437,7,2011-01-31,795
6235,33441,9,2011-01-31,793
6245,33491,7,2011-01-31,795
6257,33505,11,2011-01-31,793
6262,33622,6,2011-01-31,796
6271,33843,5,2011-01-31,793
6281,33863,6,2011-01-31,796
6293,33877,10,2011-01-31,793
6302,33978,5,2011-01-31,796
6313,34065,11,2011-01-31,793
6321,34124,7,2011-01-31,796
6335,34168,7,2011-01-31,793
6338,34176,9,2011-01-31,795
6350,34288,7,2011-01-31,796
6361,34326,6,2011-01-31,793
6367,34347,4,2011-01-31,796
6374,34354,6,2011-01-31,796
6383,34386,9,2011-01-31,793
6397,34397,8,2011-01-31,793
6407,34416,9,2011-01-31,795
6421,34442,6,2011-01-31,793
6435,34455,8,2011-01-31,793
6449,34489,8,2011-01-31,793
6456,34905,7,2011-01-31,796
6463,35137,8,2011-01-31,793
6472,35191,11,2011-01-31,794
6483,35252,5,2011-01-31,793
6497,35278,8,2011-01-31,793
6504,35456,9,2011-01-31,793
6510,35492,10,2011-01-31,794
6521,35541,11,2011-01-31,793
6525,35579,4,2011-01-31,795
6536,35635,6,2011-01-31,795
6547,35699,5,2011-01-31,793
6558,35712,7,2011-01-31,793
6572,35766,10,2011-01-31,793
6578,35786,4,2011-01-31,796
6588,35852,8,2011-01-31,795
6592,35919,8,2011-01-31,793
6606,35922,5,2011-01-31,793
6614,35976,9,2011-01-31,793
6619,36104,10,2011-01-31,794
6624,36111,4,2011-01-31,794
6629,36236,8,2011-01-31,794
6636,36257,7,2011-01-31,794
6646,36289,6,2011-01-31,793
6652,36332,10,2011-01-31,794
6661,36342,5,2011-01-31,795
6667,36402,8,2011-01-31,795
6678,36449,6,2011-01-31,793
6689,36529,10,2011-01-31,793
6697,36547,8,2011-01-31,795
6707,36554,9,2011-01-31,794
6717,36676,11,2011-01-31,795
6720,36703,3,2011-01-31,796
6723,36722,6,2011-01-31,796
6726,36813,5,2011-01-31,796
6736,36869,6,2011-01-31,796
6743,36871,5,2011-01-31,796
6752,36899,9,2011-01-31,795
6761,37191,9,2011-01-31,793
6766,37248,5,2011-01-31,796
6773,37252,7,2011-01-31,795
6783,37254,10,2011-01-31,795
6788,37320,5,2011-01-31,795
6795,37387,7,2011-01-31,795
6808,37438,5,2011-01-31,793
6822,37465,8,2011-01-31,793
6828,37529,7,2011-01-31,795
6835,37728,5,2011-01-31,793
6842,37812,7,2011-01-31,796
6859,37821,7,2011-01-31,796
6866,37955,6,2011-01-31,796
6880,37956,9,2011-01-31,793
6887,37977,5,2011-01-31,793
6901,38021,5,2011-01-31,793
6912,38050,8,2011-01-31,793
6918,38054,9,2011-01-31,794
6927,38068,6,2011-01-31,793
6941,38117,10,2011-01-31,793
6952,38137,5,2011-01-31,794
6959,38163,7,2011-01-31,795
6971,38191,8,2011-01-31,793
6981,38193,5,2011-01-31,793
6988,38335,2,2011-01-31,793
6999,38346,6,2011-01-31,794
7010,38408,9,2011-01-31,794
7014,38603,9,2011-01-31,793
7028,38610,6,2011-01-31,793
7039,38633,9,2011-01-31,795
7046,38677,9,2011-01-31,794
7052,38870,6,2011-01-31,794
7060,38901,7,2011-01-31,794
7071,38959,9,2011-01-31,793
7085,39082,8,2011-01-31,793
7096,39084,8,2011-01-31,793
7111,39097,6,2011-01-31,794
7119,39108,7,2011-01-31,793
7126,39110,7,2011-01-31,794
7137,39158,5,2011-01-31,793
7146,39214,9,2011-01-31,793
7155,39230,8,2011-01-31,793
7163,39286,7,2011-01-31,795
7169,39313,9,2011-01-31,794
7181,39318,5,2011-01-31,794
7184,39340,9,2011-01-31,794
7195,39389,8,2011-01-31,793
7209,39396,5,2011-01-31,793
7219,39419,9,2011-01-31,795
7224,39423,7,2011-01-31,795
7229,39518,5,2011-01-31,796
7237,39543,7,2011-01-31,795
7246,39561,7,2011-01-31,794
7252,39614,6,2011-01-31,796
7262,39682,8,2011-01-31,795
7267,39703,5,2011-01-31,795
7274,39837,8,2011-01-31,795
7281,39856,5,2011-01-31,793
7288,39960,8,2011-01-31,795
7293,40013,8,2011-01-31,795
7300,40035,7,2011-01-31,795
7308,40071,9,2011-01-31,794
7311,40082,11,2011-01-31,794
7317,40139,9,2011-01-31,795
7324,40177,10,2011-01-31,793
7330,40200,8,2011-01-31,794
7341,40234,8,2011-01-31,793
7357,40277,5,2011-01-31,794
7365,40359,7,2011-01-31,796
7377,40474,9,2011-01-31,793
7381,40485,8,2011-01-31,794
7388,40614,7,2011-01-31,795
7395,40698,11,2011-01-31,795
7402,40780,9,2011-01-31,793
7405,40891,7,2011-01-31,795
7412,41006,9,2011-01-31,793
7419,41026,8,2011-01-31,795
7424,41056,7,2011-01-31,795
7430,41118,5,2011-01-31,796
7443,41142,6,2011-01-31,794
7448,41296,9,2011-01-31,794
