,ident,echelon,period,grade
604071,2148753,4,2011-01-31,793
604080,2148761,4,2011-01-31,793
604089,2148771,5,2011-01-31,793
604098,2148784,6,2011-01-31,793
604104,2148785,4,2011-01-31,793
604113,2148809,4,2011-01-31,793
604122,2148853,4,2011-01-31,793
604131,2148870,4,2011-01-31,793
604143,2148892,5,2011-01-31,793
604150,2148896,4,2011-01-31,794
604154,2148905,3,2011-01-31,793
604161,2148934,3,2011-01-31,793
604172,2148960,5,2011-01-31,793
604181,2149027,3,2011-01-31,793
604189,2149097,8,2011-01-31,794
604198,2149100,7,2011-01-31,793
604206,2149120,3,2011-01-31,793
604214,2149125,5,2011-01-31,793
604220,2149140,7,2011-01-31,794
604228,2149154,8,2011-01-31,794
604237,2149171,7,2011-01-31,793
604246,2149174,5,2011-01-31,793
604255,2149176,8,2011-01-31,793
604261,2149200,6,2011-01-31,793
604270,2149201,4,2011-01-31,793
604280,2149215,5,2011-01-31,794
604288,2149216,5,2011-01-31,793
604297,2149231,5,2011-01-31,793
604309,2149246,4,2011-01-31,794
604319,2149250,5,2011-01-31,794
604327,2149251,6,2011-01-31,793
604333,2149254,5,2011-01-31,793
604339,2149263,4,2011-01-31,793
604348,2149270,4,2011-01-31,793
604357,2149272,4,2011-01-31,793
604363,2149295,4,2011-01-31,793
604373,2149297,4,2011-01-31,794
604378,2149393,4,2011-01-31,793
604387,2149404,7,2011-01-31,793
604393,2149413,4,2011-01-31,793
604402,2149436,4,2011-01-31,793
604412,2149443,4,2011-01-31,793
604421,2149452,4,2011-01-31,793
604430,2149471,3,2011-01-31,793
604440,2149491,5,2011-01-31,793
604449,2149526,4,2011-01-31,793
604455,2149537,4,2011-01-31,793
604465,2149557,6,2011-01-31,793
604474,2149611,4,2011-01-31,793
604484,2149729,4,2011-01-31,793
604493,2149793,7,2011-01-31,793
604499,2149796,5,2011-01-31,793
604508,2149797,7,2011-01-31,793
604517,2149801,7,2011-01-31,793
604526,2149802,7,2011-01-31,793
604532,2149817,6,2011-01-31,793
604539,2149819,7,2011-01-31,793
604548,2149820,8,2011-01-31,793
604558,2149833,5,2011-01-31,793
604566,2149843,5,2011-01-31,793
604577,2149852,7,2011-01-31,793
604586,2149853,7,2011-01-31,793
604592,2149864,7,2011-01-31,793
604601,2149871,4,2011-01-31,793
604613,2149891,6,2011-01-31,793
604625,2149900,5,2011-01-31,794
604632,2149902,5,2011-01-31,794
604643,2149909,4,2011-01-31,794
604651,2149913,5,2011-01-31,794
604657,2149916,5,2011-01-31,793
604667,2149932,4,2011-01-31,794
604676,2149936,5,2011-01-31,794
604683,2149947,5,2011-01-31,793
604692,2149952,4,2011-01-31,793
604704,2149954,4,2011-01-31,794
604713,2149963,4,2011-01-31,794
604722,2150034,7,2011-01-31,793
604734,2150053,6,2011-01-31,793
604743,2150056,4,2011-01-31,793
604752,2150066,5,2011-01-31,793
604762,2150071,4,2011-01-31,793
604772,2150076,7,2011-01-31,793
604783,2150134,5,2011-01-31,793
604795,2150137,4,2011-01-31,794
604804,2150149,3,2011-01-31,793
604816,2150206,4,2011-01-31,794
604824,2150249,4,2011-01-31,793
604836,2150364,6,2011-01-31,793
604845,2150372,8,2011-01-31,793
604856,2150386,5,2011-01-31,793
604862,2150390,7,2011-01-31,794
604868,2150400,5,2011-01-31,793
604877,2150402,6,2011-01-31,793
604886,2150406,7,2011-01-31,793
604893,2150417,5,2011-01-31,794
604904,2150427,5,2011-01-31,794
604913,2150430,4,2011-01-31,793
604919,2150431,7,2011-01-31,793
604927,2150436,7,2011-01-31,794
604936,2150437,4,2011-01-31,794
604948,2150439,5,2011-01-31,794
604957,2150440,6,2011-01-31,793
604966,2150452,4,2011-01-31,793
604976,2150461,5,2011-01-31,794
604988,2150471,4,2011-01-31,794
604994,2150489,6,2011-01-31,794
605002,2150503,4,2011-01-31,793
605009,2150510,6,2011-01-31,794
605019,2150511,4,2011-01-31,794
605031,2150519,4,2011-01-31,794
605040,2150521,3,2011-01-31,793
605049,2150529,4,2011-01-31,793
605058,2150532,4,2011-01-31,793
605064,2150551,5,2011-01-31,793
605072,2150552,4,2011-01-31,793
605079,2150569,4,2011-01-31,793
605088,2150574,3,2011-01-31,793
605097,2150657,5,2011-01-31,793
605104,2150683,4,2011-01-31,793
605115,2150714,4,2011-01-31,793
605124,2150725,4,2011-01-31,793
605133,2150764,6,2011-01-31,793
605142,2150783,6,2011-01-31,793
605148,2150821,4,2011-01-31,793
605156,2150841,4,2011-01-31,793
605165,2150926,3,2011-01-31,793
605171,2151043,5,2011-01-31,793
605180,2151067,7,2011-01-31,793
605189,2151093,6,2011-01-31,793
605199,2151123,5,2011-01-31,794
605210,2151140,5,2011-01-31,794
605217,2151142,4,2011-01-31,794
605226,2151150,5,2011-01-31,794
605238,2151153,4,2011-01-31,794
605248,2151166,4,2011-01-31,794
605260,2151169,5,2011-01-31,794
605267,2151261,5,2011-01-31,793
605277,2151491,3,2011-01-31,794
605285,2151506,3,2011-01-31,793
605294,2151528,3,2011-01-31,793
605303,2151577,6,2011-01-31,793
605312,2151578,6,2011-01-31,793
605321,2151593,7,2011-01-31,794
605327,2151601,4,2011-01-31,793
605336,2151615,4,2011-01-31,793
605344,2151621,7,2011-01-31,795
605347,2151624,4,2011-01-31,796
605358,2151632,6,2011-01-31,794
605367,2151640,4,2011-01-31,793
605376,2151649,5,2011-01-31,793
605383,2151651,4,2011-01-31,793
605390,2151653,5,2011-01-31,793
605403,2151663,6,2011-01-31,794
605412,2151664,5,2011-01-31,793
605424,2151666,5,2011-01-31,795
605433,2151668,3,2011-01-31,793
605442,2151673,4,2011-01-31,793
605451,2151675,4,2011-01-31,793
605459,2151686,4,2011-01-31,793
605467,2151689,3,2011-01-31,793
605476,2151695,4,2011-01-31,793
605486,2151698,4,2011-01-31,793
605497,2151756,5,2011-01-31,793
605504,2151771,9,2011-01-31,793
605512,2151784,6,2011-01-31,793
605521,2151785,5,2011-01-31,793
605530,2151799,4,2011-01-31,793
605539,2151804,6,2011-01-31,793
605548,2151826,4,2011-01-31,793
605554,2151850,5,2011-01-31,793
605561,2151852,4,2011-01-31,793
605571,2151857,5,2011-01-31,793
605580,2151884,5,2011-01-31,793
605589,2151978,3,2011-01-31,793
605598,2152024,3,2011-01-31,793
605606,2152028,4,2011-01-31,793
605614,2152079,4,2011-01-31,793
605624,2152080,5,2011-01-31,795
605631,2152090,9,2011-01-31,795
605639,2152094,7,2011-01-31,793
605648,2152099,6,2011-01-31,793
605658,2152106,6,2011-01-31,795
605668,2152119,5,2011-01-31,794
605677,2152125,7,2011-01-31,793
605684,2152127,6,2011-01-31,793
605690,2152134,6,2011-01-31,793
605696,2152144,7,2011-01-31,794
605703,2152149,5,2011-01-31,793
605712,2152157,5,2011-01-31,793
605721,2152160,6,2011-01-31,793
605729,2152164,3,2011-01-31,793
605738,2152167,6,2011-01-31,795
605745,2152171,6,2011-01-31,793
605754,2152185,4,2011-01-31,793
605761,2152186,4,2011-01-31,793
605770,2152190,5,2011-01-31,793
605779,2152196,5,2011-01-31,793
605788,2152197,6,2011-01-31,793
605792,2152201,5,2011-01-31,795
605799,2152209,4,2011-01-31,793
605807,2152214,5,2011-01-31,794
605815,2152217,4,2011-01-31,793
605827,2152228,4,2011-01-31,794
605836,2152233,3,2011-01-31,793
605845,2152234,5,2011-01-31,793
605857,2152235,5,2011-01-31,794
605864,2152240,5,2011-01-31,793
605873,2152242,4,2011-01-31,793
605882,2152244,3,2011-01-31,793
605891,2152247,3,2011-01-31,793
605900,2152249,3,2011-01-31,793
605906,2152252,4,2011-01-31,793
605913,2152253,4,2011-01-31,793
605921,2152255,4,2011-01-31,793
605928,2152258,4,2011-01-31,793
605936,2152299,7,2011-01-31,794
605946,2152334,6,2011-01-31,793
605955,2152356,6,2011-01-31,793
605961,2152360,4,2011-01-31,793
605971,2152373,4,2011-01-31,793
605980,2152382,5,2011-01-31,793
605990,2152435,5,2011-01-31,794
605997,2152458,4,2011-01-31,793
606007,2152493,5,2011-01-31,793
606014,2152568,4,2011-01-31,793
606021,2152643,4,2011-01-31,793
606030,2152654,6,2011-01-31,793
606033,2152665,7,2011-01-31,794
606041,2152671,3,2011-01-31,793
606051,2152679,6,2011-01-31,793
606060,2152683,3,2011-01-31,793
606069,2152684,5,2011-01-31,795
606075,2152691,5,2011-01-31,793
606085,2152698,6,2011-01-31,793
606094,2152701,7,2011-01-31,793
606100,2152702,6,2011-01-31,793
606107,2152713,5,2011-01-31,794
606112,2152716,4,2011-01-31,793
606121,2152723,4,2011-01-31,793
606130,2152737,4,2011-01-31,793
606138,2152741,4,2011-01-31,794
606147,2152747,4,2011-01-31,793
606153,2152752,5,2011-01-31,793
606158,2152754,4,2011-01-31,793
606166,2152755,4,2011-01-31,793
606172,2152760,3,2011-01-31,793
606180,2152812,4,2011-01-31,793
606188,2152841,5,2011-01-31,793
606200,2152861,4,2011-01-31,794
606206,2152869,5,2011-01-31,793
606216,2152889,6,2011-01-31,793
606225,2152934,4,2011-01-31,793
606234,2153014,4,2011-01-31,793
606243,2153021,3,2011-01-31,793
606252,2153022,4,2011-01-31,793
606261,2153023,3,2011-01-31,793
606267,2153043,3,2011-01-31,793
606277,2153110,9,2011-01-31,793
606286,2153113,8,2011-01-31,793
606294,2153114,7,2011-01-31,794
606304,2153119,8,2011-01-31,793
606309,2153137,7,2011-01-31,794
606318,2153140,7,2011-01-31,793
606327,2153152,5,2011-01-31,793
606336,2153158,3,2011-01-31,793
606345,2153164,7,2011-01-31,793
606354,2153167,7,2011-01-31,793
606358,2153168,7,2011-01-31,794
606366,2153170,4,2011-01-31,793
606376,2153171,7,2011-01-31,793
606385,2153176,5,2011-01-31,793
606395,2153179,6,2011-01-31,793
606405,2153191,5,2011-01-31,793
606412,2153195,6,2011-01-31,793
606419,2153200,5,2011-01-31,793
606428,2153214,4,2011-01-31,793
606434,2153238,5,2011-01-31,793
606444,2153241,5,2011-01-31,793
606452,2153242,4,2011-01-31,793
606462,2153247,5,2011-01-31,794
606468,2153248,4,2011-01-31,793
606478,2153250,5,2011-01-31,794
606487,2153257,4,2011-01-31,793
606494,2153258,4,2011-01-31,793
606501,2153261,4,2011-01-31,793
606508,2153264,4,2011-01-31,793
606517,2153266,4,2011-01-31,793
606526,2153267,4,2011-01-31,794
606534,2153339,5,2011-01-31,793
606538,2153341,6,2011-01-31,793
606552,2153349,6,2011-01-31,793
606563,2153351,4,2011-01-31,793
606573,2153352,5,2011-01-31,793
606582,2153362,4,2011-01-31,793
606591,2153368,5,2011-01-31,793
606600,2153372,6,2011-01-31,793
606610,2153375,6,2011-01-31,793
606619,2153385,4,2011-01-31,793
606628,2153464,6,2011-01-31,793
606637,2153473,4,2011-01-31,793
606647,2153575,5,2011-01-31,793
606654,2153629,5,2011-01-31,793
606664,2153674,3,2011-01-31,793
606673,2153676,8,2011-01-31,793
606682,2153680,5,2011-01-31,793
606690,2153689,7,2011-01-31,793
606699,2153703,6,2011-01-31,793
606707,2153708,7,2011-01-31,794
606720,2153717,5,2011-01-31,793
606730,2153720,5,2011-01-31,795
606742,2153730,6,2011-01-31,794
606749,2153748,6,2011-01-31,795
606755,2153751,5,2011-01-31,793
606764,2153753,7,2011-01-31,794
606772,2153756,4,2011-01-31,795
606780,2153758,5,2011-01-31,793
606791,2153759,6,2011-01-31,794
606800,2153767,5,2011-01-31,793
606807,2153780,5,2011-01-31,793
606815,2153783,4,2011-01-31,793
606825,2153785,5,2011-01-31,793
606835,2153786,4,2011-01-31,793
606845,2153788,5,2011-01-31,795
606852,2153796,5,2011-01-31,793
606861,2153804,4,2011-01-31,793
606869,2153805,4,2011-01-31,793
606877,2153806,4,2011-01-31,793
606887,2153811,4,2011-01-31,793
606897,2153812,5,2011-01-31,794
606903,2153813,5,2011-01-31,794
606910,2153815,4,2011-01-31,794
606917,2153817,4,2011-01-31,793
606923,2153819,3,2011-01-31,793
606931,2153821,4,2011-01-31,793
606938,2153822,4,2011-01-31,794
606945,2153824,4,2011-01-31,793
606954,2153916,5,2011-01-31,793
606959,2153917,7,2011-01-31,793
606967,2153927,4,2011-01-31,793
606977,2153940,4,2011-01-31,793
606982,2153944,7,2011-01-31,794
606988,2153964,5,2011-01-31,793
606995,2153973,5,2011-01-31,793
607004,2153989,6,2011-01-31,793
607012,2154000,5,2011-01-31,793
607021,2154020,5,2011-01-31,793
607030,2154028,5,2011-01-31,793
607039,2154084,4,2011-01-31,793
607046,2154269,7,2011-01-31,793
607052,2154279,5,2011-01-31,793
607061,2154280,4,2011-01-31,793
607070,2154283,4,2011-01-31,793
607079,2154292,7,2011-01-31,793
607085,2154299,7,2011-01-31,793
607094,2154302,4,2011-01-31,793
607106,2154306,4,2011-01-31,794
607114,2154307,5,2011-01-31,793
607121,2154328,5,2011-01-31,793
607127,2154331,4,2011-01-31,793
607136,2154345,4,2011-01-31,793
607145,2154349,5,2011-01-31,793
607152,2154370,5,2011-01-31,793
607161,2154373,5,2011-01-31,793
607170,2154376,4,2011-01-31,793
607178,2154379,7,2011-01-31,795
607186,2154390,5,2011-01-31,793
607198,2154401,5,2011-01-31,794
607205,2154405,4,2011-01-31,793
607213,2154410,4,2011-01-31,793
607222,2154418,4,2011-01-31,793
607231,2154431,4,2011-01-31,793
607240,2154434,5,2011-01-31,793
607246,2154436,5,2011-01-31,793
607252,2154440,5,2011-01-31,795
607260,2154443,4,2011-01-31,793
607267,2154444,4,2011-01-31,793
607279,2154445,3,2011-01-31,794
607286,2154446,4,2011-01-31,793
607293,2154451,4,2011-01-31,793
607300,2154452,4,2011-01-31,793
607307,2154461,4,2011-01-31,793
607316,2154464,4,2011-01-31,793
607323,2154480,4,2011-01-31,793
607332,2154486,4,2011-01-31,793
607341,2154488,4,2011-01-31,793
607350,2154490,4,2011-01-31,794
607358,2154493,3,2011-01-31,793
607367,2154560,4,2011-01-31,793
607373,2154566,4,2011-01-31,793
607382,2154567,6,2011-01-31,793
607391,2154594,4,2011-01-31,793
607400,2154622,7,2011-01-31,793
607409,2154623,6,2011-01-31,793
607418,2154626,6,2011-01-31,793
607428,2154629,4,2011-01-31,793
607437,2154648,5,2011-01-31,793
607447,2154649,7,2011-01-31,793
607456,2154651,3,2011-01-31,793
607465,2154666,4,2011-01-31,793
607474,2154692,5,2011-01-31,793
607481,2154706,5,2011-01-31,793
607487,2154720,4,2011-01-31,793
607496,2154797,5,2011-01-31,793
607503,2154856,4,2011-01-31,793
607515,2154900,4,2011-01-31,794
607524,2154923,4,2011-01-31,793
607533,2154947,5,2011-01-31,793
607543,2155125,6,2011-01-31,793
607552,2155134,8,2011-01-31,793
607561,2155157,7,2011-01-31,793
607570,2155164,5,2011-01-31,793
607579,2155172,6,2011-01-31,793
607588,2155177,3,2011-01-31,793
607596,2155195,5,2011-01-31,793
607605,2155198,5,2011-01-31,793
607614,2155204,5,2011-01-31,793
607622,2155206,5,2011-01-31,793
607629,2155209,6,2011-01-31,793
607638,2155224,4,2011-01-31,794
607646,2155237,5,2011-01-31,793
607653,2155239,5,2011-01-31,793
607659,2155240,4,2011-01-31,793
607668,2155242,6,2011-01-31,793
607680,2155243,4,2011-01-31,794
607685,2155244,6,2011-01-31,793
607691,2155255,5,2011-01-31,793
607701,2155257,5,2011-01-31,793
607708,2155259,4,2011-01-31,793
607717,2155272,4,2011-01-31,793
607726,2155285,6,2011-01-31,793
607735,2155304,4,2011-01-31,793
607744,2155306,4,2011-01-31,793
607753,2155307,5,2011-01-31,794
607763,2155308,4,2011-01-31,793
607769,2155309,4,2011-01-31,793
607776,2155311,5,2011-01-31,794
607783,2155312,3,2011-01-31,793
607792,2155315,4,2011-01-31,793
607801,2155317,3,2011-01-31,793
607807,2155322,4,2011-01-31,793
607813,2155323,4,2011-01-31,793
607820,2155327,4,2011-01-31,793
607827,2155454,6,2011-01-31,793
607835,2155479,4,2011-01-31,793
607844,2155480,4,2011-01-31,793
607854,2155483,5,2011-01-31,793
607862,2155492,6,2011-01-31,793
607872,2155499,6,2011-01-31,793
607882,2155504,6,2011-01-31,793
607891,2155514,5,2011-01-31,793
607900,2155522,6,2011-01-31,793
607908,2155619,4,2011-01-31,793
607918,2155718,4,2011-01-31,793
607928,2155719,4,2011-01-31,793
607937,2155863,7,2011-01-31,793
607946,2155872,7,2011-01-31,793
607955,2155876,8,2011-01-31,793
607964,2155877,7,2011-01-31,793
607973,2155879,8,2011-01-31,793
607982,2155882,7,2011-01-31,793
607991,2155885,7,2011-01-31,793
608000,2155889,6,2011-01-31,793
608009,2155893,8,2011-01-31,793
608016,2155908,4,2011-01-31,793
608023,2155910,5,2011-01-31,795
608032,2155928,6,2011-01-31,793
608041,2155934,6,2011-01-31,793
608047,2155935,5,2011-01-31,793
608056,2155946,7,2011-01-31,793
608066,2155949,6,2011-01-31,794
608074,2155950,5,2011-01-31,793
608080,2155951,5,2011-01-31,793
608092,2155964,6,2011-01-31,794
608100,2155967,4,2011-01-31,793
608112,2155979,6,2011-01-31,794
608118,2155981,5,2011-01-31,793
608125,2156000,4,2011-01-31,793
608131,2156001,4,2011-01-31,793
608140,2156014,4,2011-01-31,793
608147,2156016,3,2011-01-31,793
608156,2156019,2,2011-01-31,793
608168,2156024,4,2011-01-31,794
608177,2156025,5,2011-01-31,793
608186,2156026,3,2011-01-31,793
608195,2156034,3,2011-01-31,793
608203,2156037,4,2011-01-31,793
608209,2156044,4,2011-01-31,793
608215,2156046,3,2011-01-31,793
608221,2156050,4,2011-01-31,793
608230,2156129,8,2011-01-31,793
608239,2156143,3,2011-01-31,793
608253,2156145,6,2011-01-31,793
608263,2156147,4,2011-01-31,793
608272,2156148,4,2011-01-31,793
608281,2156156,5,2011-01-31,793
608289,2156209,4,2011-01-31,793
608298,2156219,5,2011-01-31,793
608307,2156223,5,2011-01-31,793
608316,2156240,5,2011-01-31,793
608322,2156267,5,2011-01-31,793
608328,2156290,5,2011-01-31,793
608335,2156535,8,2011-01-31,793
608343,2156540,8,2011-01-31,795
608349,2156545,8,2011-01-31,795
608358,2156558,6,2011-01-31,793
608366,2156559,8,2011-01-31,794
608373,2156572,5,2011-01-31,795
608382,2156574,5,2011-01-31,793
608391,2156581,5,2011-01-31,793
608397,2156582,6,2011-01-31,793
608406,2156585,5,2011-01-31,793
608413,2156590,6,2011-01-31,793
608421,2156592,5,2011-01-31,794
608430,2156596,6,2011-01-31,793
608440,2156598,4,2011-01-31,793
608451,2156604,5,2011-01-31,794
608459,2156613,6,2011-01-31,793
608463,2156618,6,2011-01-31,794
608473,2156619,6,2011-01-31,795
608479,2156626,6,2011-01-31,793
608486,2156631,4,2011-01-31,793
608495,2156633,4,2011-01-31,793
608504,2156635,4,2011-01-31,793
608513,2156640,5,2011-01-31,793
608522,2156653,5,2011-01-31,793
608531,2156662,4,2011-01-31,793
608537,2156668,5,2011-01-31,793
608546,2156674,5,2011-01-31,793
608553,2156695,4,2011-01-31,793
608562,2156697,3,2011-01-31,793
608567,2156699,3,2011-01-31,793
608575,2156701,4,2011-01-31,793
608581,2156702,4,2011-01-31,793
608590,2156710,4,2011-01-31,793
608599,2156712,3,2011-01-31,793
608608,2156713,3,2011-01-31,793
608616,2156797,4,2011-01-31,793
608627,2156800,7,2011-01-31,793
608634,2156804,5,2011-01-31,793
608637,2156835,9,2011-01-31,794
608643,2156847,5,2011-01-31,794
608652,2156857,5,2011-01-31,793
608661,2156862,5,2011-01-31,793
608671,2156864,5,2011-01-31,793
608680,2156887,4,2011-01-31,793
608689,2156890,4,2011-01-31,793
608698,2156897,5,2011-01-31,793
608708,2157193,7,2011-01-31,793
608717,2157199,7,2011-01-31,793
608727,2157206,7,2011-01-31,793
608734,2157207,7,2011-01-31,793
608743,2157217,7,2011-01-31,793
608753,2157222,6,2011-01-31,793
608759,2157229,6,2011-01-31,794
608768,2157235,6,2011-01-31,793
608777,2157237,6,2011-01-31,793
608786,2157247,3,2011-01-31,793
608792,2157256,5,2011-01-31,793
608802,2157258,6,2011-01-31,793
608811,2157262,4,2011-01-31,793
608818,2157263,5,2011-01-31,793
608827,2157266,6,2011-01-31,793
608836,2157267,4,2011-01-31,793
608846,2157271,5,2011-01-31,793
608855,2157272,5,2011-01-31,793
608864,2157277,6,2011-01-31,793
608874,2157289,3,2011-01-31,793
608886,2157293,5,2011-01-31,794
608894,2157312,4,2011-01-31,793
608903,2157316,4,2011-01-31,793
608911,2157320,4,2011-01-31,793
608920,2157321,4,2011-01-31,793
608929,2157323,4,2011-01-31,793
608935,2157325,4,2011-01-31,793
608944,2157326,4,2011-01-31,793
608953,2157339,3,2011-01-31,793
608962,2157343,4,2011-01-31,793
608969,2157396,5,2011-01-31,793
608978,2157436,4,2011-01-31,793
608987,2157454,5,2011-01-31,793
608997,2157636,5,2011-01-31,794
609004,2157716,3,2011-01-31,793
609015,2157735,6,2011-01-31,793
609018,2157737,7,2011-01-31,794
609027,2157740,6,2011-01-31,793
609036,2157748,5,2011-01-31,793
609045,2157751,7,2011-01-31,793
609054,2157757,6,2011-01-31,793
609062,2157760,5,2011-01-31,793
609071,2157762,5,2011-01-31,793
609080,2157773,6,2011-01-31,793
609087,2157779,5,2011-01-31,794
609096,2157783,4,2011-01-31,793
609103,2157784,4,2011-01-31,793
609115,2157791,4,2011-01-31,794
609123,2157798,3,2011-01-31,793
609132,2157816,4,2011-01-31,793
609140,2157817,4,2011-01-31,793
609149,2157829,4,2011-01-31,793
609158,2157884,4,2011-01-31,793
609167,2157917,4,2011-01-31,793
609176,2157919,5,2011-01-31,793
609185,2157942,5,2011-01-31,793
609195,2157963,5,2011-01-31,793
609203,2157970,5,2011-01-31,793
609212,2158035,5,2011-01-31,793
609220,2158177,7,2011-01-31,794
609229,2158202,6,2011-01-31,793
609238,2158205,7,2011-01-31,793
609247,2158213,6,2011-01-31,793
609255,2158216,6,2011-01-31,793
609264,2158221,6,2011-01-31,793
609273,2158222,6,2011-01-31,793
609282,2158224,6,2011-01-31,793
609291,2158234,5,2011-01-31,794
609301,2158240,5,2011-01-31,794
609309,2158246,4,2011-01-31,793
609316,2158251,5,2011-01-31,793
609323,2158252,3,2011-01-31,793
609333,2158278,3,2011-01-31,794
609342,2158280,4,2011-01-31,793
609351,2158282,4,2011-01-31,793
609360,2158283,3,2011-01-31,793
609369,2158284,3,2011-01-31,793
609378,2158343,5,2011-01-31,793
609387,2158377,8,2011-01-31,793
609396,2158392,4,2011-01-31,793
609403,2158411,11,2011-01-31,793
609412,2158457,4,2011-01-31,793
609421,2158503,4,2011-01-31,793
609429,2158593,10,2011-01-31,793
609437,2158595,8,2011-01-31,793
609446,2158596,6,2011-01-31,793
609458,2158607,5,2011-01-31,794
609466,2158609,4,2011-01-31,793
609472,2158613,6,2011-01-31,793
609481,2158645,5,2011-01-31,793
609491,2158646,4,2011-01-31,794
609501,2158651,5,2011-01-31,794
609509,2158653,4,2011-01-31,793
609518,2158664,4,2011-01-31,793
609525,2158685,4,2011-01-31,793
609534,2158688,3,2011-01-31,793
609540,2158690,3,2011-01-31,793
609549,2158691,3,2011-01-31,793
609558,2158738,5,2011-01-31,793
609571,2158782,4,2011-01-31,793
609580,2158817,4,2011-01-31,793
609590,2158845,4,2011-01-31,793
609596,2158996,5,2011-01-31,793
609605,2159002,4,2011-01-31,793
609614,2159005,5,2011-01-31,793
609623,2159019,5,2011-01-31,793
609635,2159020,5,2011-01-31,794
609643,2159022,4,2011-01-31,793
609650,2159029,3,2011-01-31,793
609658,2159030,1,2011-01-31,794
609667,2159040,5,2011-01-31,793
609677,2159101,4,2011-01-31,793
609686,2159105,7,2011-01-31,793
609695,2159114,4,2011-01-31,793
609703,2159122,6,2011-01-31,793
609712,2159123,7,2011-01-31,793
609719,2159124,8,2011-01-31,793
609728,2159126,7,2011-01-31,793
609737,2159146,6,2011-01-31,793
609745,2159148,5,2011-01-31,793
609754,2159151,7,2011-01-31,793
609763,2159157,3,2011-01-31,793
609767,2159158,3,2011-01-31,793
609777,2159160,4,2011-01-31,794
609785,2159176,5,2011-01-31,793
609792,2159181,6,2011-01-31,793
609801,2159183,5,2011-01-31,793
609811,2159197,6,2011-01-31,794
609820,2159203,3,2011-01-31,793
609830,2159219,5,2011-01-31,793
609837,2159237,4,2011-01-31,793
609846,2159239,5,2011-01-31,793
609855,2159263,4,2011-01-31,793
609861,2159266,4,2011-01-31,793
609867,2159268,2,2011-01-31,793
609876,2159291,3,2011-01-31,793
609886,2159292,4,2011-01-31,793
609896,2159293,4,2011-01-31,793
609904,2159299,3,2011-01-31,793
609913,2159300,4,2011-01-31,793
609921,2159360,7,2011-01-31,793
609928,2159363,5,2011-01-31,793
609937,2159370,6,2011-01-31,793
609944,2159386,6,2011-01-31,793
609953,2159394,4,2011-01-31,793
609963,2159396,4,2011-01-31,793
609971,2159403,6,2011-01-31,793
609979,2159454,6,2011-01-31,793
609988,2159463,5,2011-01-31,793
609998,2159467,5,2011-01-31,793
610007,2159505,5,2011-01-31,793
610013,2159516,4,2011-01-31,793
610022,2159600,4,2011-01-31,793
610031,2159610,4,2011-01-31,793
610037,2159642,4,2011-01-31,793
610045,2159800,2,2011-01-31,793
610055,2159847,4,2011-01-31,793
610061,2159848,7,2011-01-31,794
610071,2159869,7,2011-01-31,793
610079,2159876,4,2011-01-31,794
610085,2159885,8,2011-01-31,795
610094,2159886,6,2011-01-31,793
610103,2159908,5,2011-01-31,793
610109,2159913,6,2011-01-31,795
610118,2159916,3,2011-01-31,793
610124,2159917,5,2011-01-31,793
610131,2159922,4,2011-01-31,793
610140,2159926,3,2011-01-31,793
610146,2159927,5,2011-01-31,795
610155,2159928,5,2011-01-31,793
610161,2159933,5,2011-01-31,795
610167,2159936,4,2011-01-31,793
610179,2159939,5,2011-01-31,794
610186,2159942,4,2011-01-31,794
610195,2159954,3,2011-01-31,793
610203,2159958,4,2011-01-31,793
610210,2159963,5,2011-01-31,793
610219,2159965,3,2011-01-31,793
610228,2159966,3,2011-01-31,793
610237,2159968,4,2011-01-31,793
610244,2159971,4,2011-01-31,793
610251,2159972,4,2011-01-31,793
610260,2160035,4,2011-01-31,793
610269,2160039,4,2011-01-31,793
610278,2160042,6,2011-01-31,793
610287,2160055,6,2011-01-31,793
610297,2160078,6,2011-01-31,793
610306,2160084,4,2011-01-31,793
610315,2160085,5,2011-01-31,793
610325,2160087,6,2011-01-31,793
610335,2160104,5,2011-01-31,793
610345,2160122,4,2011-01-31,793
610354,2160136,4,2011-01-31,793
610360,2160156,4,2011-01-31,793
610369,2160169,5,2011-01-31,793
610378,2160226,3,2011-01-31,793
610384,2160274,5,2011-01-31,793
610392,2160288,3,2011-01-31,793
610398,2160298,4,2011-01-31,793
610403,2160348,3,2011-01-31,793
610412,2160350,8,2011-01-31,794
610418,2160352,6,2011-01-31,793
610425,2160354,8,2011-01-31,793
610435,2160356,5,2011-01-31,793
610442,2160358,8,2011-01-31,793
610447,2160362,7,2011-01-31,794
610456,2160363,7,2011-01-31,793
610462,2160366,7,2011-01-31,794
610469,2160368,7,2011-01-31,794
610476,2160376,4,2011-01-31,793
610485,2160380,5,2011-01-31,793
610493,2160392,6,2011-01-31,793
610500,2160406,5,2011-01-31,793
610510,2160407,3,2011-01-31,793
610519,2160414,6,2011-01-31,793
610526,2160420,3,2011-01-31,793
610537,2160429,6,2011-01-31,794
610545,2160433,4,2011-01-31,793
610554,2160443,5,2011-01-31,793
610563,2160446,6,2011-01-31,793
610572,2160458,5,2011-01-31,793
610581,2160460,4,2011-01-31,794
610589,2160466,4,2011-01-31,793
610603,2160467,4,2011-01-31,794
610610,2160471,4,2011-01-31,793
610618,2160473,3,2011-01-31,793
610628,2160479,4,2011-01-31,794
610634,2160489,4,2011-01-31,793
610643,2160494,3,2011-01-31,793
610652,2160497,4,2011-01-31,793
