,c_netneh,transition,population,cdf
annees_2011_2014,TAR3,1,639994,0.927752079126
annees_2011_2014,2458,0,640470,0.928442101204
annees_2011_2014,2459,0,640943,0.929127774403
annees_2011_2014,4115,0,641411,0.929806199471
annees_2011_2014,TCE1,1,641862,0.930459980894
annees_2011_2014,TTH1,3,642308,0.931106514185
annees_2011_2014,TRC1,0,642753,0.93175159785
annees_2011_2014,2753,1,643190,0.932385084506
annees_2011_2014,TMD2,0,643626,0.933017121535
annees_2011_2014,TAR3,2,644059,0.933644809686
annees_2011_2014,TMP1,2,644488,0.934266699332
annees_2011_2014,TMH1,2,644902,0.934866844584
annees_2011_2014,2700,0,645309,0.935456842453
annees_2011_2014,1451,1,645714,0.93604394107
annees_2011_2014,TEQ1,1,646116,0.936626690808
annees_2011_2014,3008,1,646518,0.937209440546
annees_2011_2014,TNN1,2,646913,0.9377820429
annees_2011_2014,TCJ2,1,647304,0.93834884675
annees_2011_2014,TOP1,0,647688,0.938905503216
annees_2011_2014,TRS4,2,648071,0.939460710056
annees_2011_2014,TCB1,0,648451,0.940011568017
annees_2011_2014,TTA4,0,648823,0.940550828969
annees_2011_2014,TMP2,0,649187,0.941078492911
annees_2011_2014,3002,1,649545,0.941597459095
annees_2011_2014,TTG2,1,649899,0.942110626775
annees_2011_2014,TNJ3,1,650240,0.942604949314
annees_2011_2014,TCE1,2,650579,0.9430963726
annees_2011_2014,TTT3,2,650917,0.943586346261
annees_2011_2014,TTH2,3,651252,0.944071971042
annees_2011_2014,TSE1,2,651585,0.944554696571
annees_2011_2014,TCJ1,2,651916,0.945034522848
annees_2011_2014,TNJ2,2,652244,0.945510000246
annees_2011_2014,TAJ1,3,652572,0.945985477645
annees_2011_2014,TMA1,2,652895,0.946453706912
annees_2011_2014,TMM1,0,653209,0.946908889543
annees_2011_2014,2440,0,653517,0.947355374417
annees_2011_2014,TNJ3,0,653824,0.947800409664
annees_2011_2014,1316,0,654130,0.948243995286
annees_2011_2014,TOJ2,0,654436,0.948687580907
annees_2011_2014,TSE2,1,654741,0.949129716902
annees_2011_2014,TAJ2,3,655043,0.949567504019
annees_2011_2014,4304,2,655344,0.950003841509
annees_2011_2014,1423,2,655643,0.950437279747
annees_2011_2014,2459,1,655942,0.950870717985
annees_2011_2014,TOP2,0,656237,0.951298357718
annees_2011_2014,TTT2,2,656531,0.951724547825
annees_2011_2014,2631,1,656825,0.952150737932
annees_2011_2014,TCA1,0,657117,0.952574028787
annees_2011_2014,TAR2,2,657407,0.952994420389
annees_2011_2014,TTA2,2,657696,0.953413362365
annees_2011_2014,TOK1,2,657980,0.953825056209
annees_2011_2014,TCS1,1,658262,0.954233850802
annees_2011_2014,TAU2,0,658544,0.954642645394
annees_2011_2014,2430,0,658825,0.95504999036
annees_2011_2014,2661,0,659103,0.955452986447
annees_2011_2014,TOK2,0,659378,0.955851633656
annees_2011_2014,TON2,1,659653,0.956250280865
annees_2011_2014,3121,2,659927,0.956647478448
annees_2011_2014,TAJ4,0,660200,0.957043226404
annees_2011_2014,2719,0,660467,0.957430276603
annees_2011_2014,TRS1,1,660733,0.957815877176
annees_2011_2014,TPG1,2,660996,0.95819712887
annees_2011_2014,3008,2,661255,0.95857258206
annees_2011_2014,TCG1,1,661514,0.958948035249
annees_2011_2014,TTT1,2,661773,0.959323488439
annees_2011_2014,0340,0,662026,0.959690243871
annees_2011_2014,4324,0,662276,0.960052650424
annees_2011_2014,TOH1,0,662526,0.960415056978
annees_2011_2014,TCS1,2,662769,0.960767316148
annees_2011_2014,TRS3,3,663010,0.961116676065
annees_2011_2014,2801,2,663251,0.961466035983
annees_2011_2014,0430,0,663487,0.961808147769
annees_2011_2014,TRC2,0,663722,0.962148809929
annees_2011_2014,1561,1,663955,0.962486572837
annees_2011_2014,5715,0,664187,0.962822886119
annees_2011_2014,1562,1,664415,0.963153400896
annees_2011_2014,TMP2,1,664635,0.963472318663
annees_2011_2014,TSE2,0,664855,0.96379123643
annees_2011_2014,TAR1,3,665073,0.964107254944
annees_2011_2014,3006,0,665288,0.96441892458
annees_2011_2014,TOJ2,1,665503,0.964730594216
annees_2011_2014,TPG2,2,665715,0.965037914974
annees_2011_2014,2717,0,665926,0.965343786105
annees_2011_2014,TNN2,1,666129,0.965638060226
annees_2011_2014,2458,1,666330,0.965929435095
annees_2011_2014,TTG1,2,666530,0.966219360338
annees_2011_2014,TNN3,0,666729,0.966507835954
annees_2011_2014,TMD2,1,666927,0.966794861945
annees_2011_2014,TCJ2,2,667124,0.967080438309
annees_2011_2014,3005,2,667321,0.967366014673
annees_2011_2014,TAU1,0,667516,0.967648691785
annees_2011_2014,6012,1,667706,0.967924120765
annees_2011_2014,TCG1,0,667896,0.968199549746
annees_2011_2014,2460,0,668078,0.968463381717
annees_2011_2014,TAT2,2,668259,0.968725764062
annees_2011_2014,TSE3,0,668440,0.968988146406
annees_2011_2014,TTG2,2,668620,0.969249079125
annees_2011_2014,2440,2,668799,0.969508562217
annees_2011_2014,TPG3,1,668976,0.969765146057
annees_2011_2014,TPG3,2,669153,0.970021729897
annees_2011_2014,TON1,2,669329,0.970276864111
annees_2011_2014,4115,1,669504,0.970530548698
annees_2011_2014,TOP2,1,669679,0.970784233285
annees_2011_2014,TAT3,0,669852,0.97103501862
annees_2011_2014,2753,2,670025,0.971285803955
annees_2011_2014,TCG1,2,670197,0.971535139664
annees_2011_2014,TCJ3,1,670369,0.971784475373
annees_2011_2014,2257,0,670541,0.972033811082
annees_2011_2014,TEQ2,1,670710,0.972278797912
annees_2011_2014,3002,2,670875,0.972517986237
annees_2011_2014,1412,0,671038,0.97275427531
annees_2011_2014,TOP1,2,671199,0.972987665131
annees_2011_2014,TTA3,2,671358,0.973218155699
annees_2011_2014,TRC1,1,671514,0.973444297388
annees_2011_2014,3001,3,671669,0.973668989451
annees_2011_2014,2452,0,671823,0.973892231888
annees_2011_2014,TTM2,1,671976,0.974114024699
annees_2011_2014,5845,1,672129,0.974335817509
annees_2011_2014,TAU2,1,672279,0.974553261442
annees_2011_2014,TMA2,1,672424,0.974763457243
annees_2011_2014,5715,1,672569,0.974973653044
annees_2011_2014,TCP1,1,672713,0.975182399218
annees_2011_2014,2452,1,672855,0.975388246141
annees_2011_2014,4437,2,672996,0.975592643437
annees_2011_2014,TRL2,0,673135,0.975794141481
annees_2011_2014,TAJ4,1,673271,0.975991290646
annees_2011_2014,TTH3,3,673407,0.976188439811
annees_2011_2014,TMM1,1,673541,0.976382689723
annees_2011_2014,TTA4,1,673674,0.97657549001
annees_2011_2014,TTH4,2,673805,0.976765391044
annees_2011_2014,3128,0,673935,0.976953842452
annees_2011_2014,2650,1,674063,0.977139394607
annees_2011_2014,TCG2,0,674190,0.977323497136
annees_2011_2014,2804,1,674317,0.977507599665
annees_2011_2014,4323,1,674444,0.977691702195
annees_2011_2014,2257,1,674569,0.977872905471
annees_2011_2014,TCJ3,0,674694,0.978054108748
annees_2011_2014,TNJ3,2,674816,0.978230963146
annees_2011_2014,5725,0,674937,0.978406367918
annees_2011_2014,TNN2,0,675058,0.97858177269
annees_2011_2014,2823,1,675178,0.978755727836
annees_2011_2014,2432,3,675298,0.978929682981
annees_2011_2014,2334,2,675417,0.979102188501
annees_2011_2014,TSP2,1,675534,0.979271794768
annees_2011_2014,TTA1,3,675651,0.979441401035
annees_2011_2014,TOH1,1,675765,0.979606658423
annees_2011_2014,TAU1,1,675875,0.979766117307
annees_2011_2014,3003,0,675985,0.97992557619
annees_2011_2014,TOJ1,3,676095,0.980085035074
annees_2011_2014,0342,1,676202,0.980240145079
annees_2011_2014,TRL2,1,676309,0.980395255083
annees_2011_2014,TRL1,1,676415,0.980548915462
annees_2011_2014,1251,1,676520,0.980701126215
annees_2011_2014,1316,1,676624,0.980851887341
annees_2011_2014,2649,1,676727,0.981001198841
annees_2011_2014,TNJ1,3,676830,0.981150510341
annees_2011_2014,2335,1,676931,0.981296922589
annees_2011_2014,TCJ4,0,677027,0.981436086705
annees_2011_2014,TAJ3,3,677122,0.981573801195
annees_2011_2014,0650,1,677217,0.981711515686
annees_2011_2014,1251,0,677310,0.981846330924
annees_2011_2014,TCF1,3,677400,0.981976797283
annees_2011_2014,TOD1,0,677490,0.982107263642
annees_2011_2014,2001,1,677579,0.982236280375
annees_2011_2014,TTG3,0,677667,0.982363847482
annees_2011_2014,4207,2,677755,0.982491414589
annees_2011_2014,2631,0,677842,0.982617532069
annees_2011_2014,TTM2,2,677929,0.98274364955
annees_2011_2014,TSC1,0,678015,0.982868317404
annees_2011_2014,1326,2,678101,0.982992985259
annees_2011_2014,TSC1,1,678186,0.983116203487
annees_2011_2014,2453,1,678270,0.983237972089
annees_2011_2014,2453,0,678354,0.983359740691
annees_2011_2014,TEQ1,2,678438,0.983481509293
annees_2011_2014,TON1,0,678522,0.983603277895
annees_2011_2014,TOT1,1,678603,0.983720697618
annees_2011_2014,TOK2,1,678683,0.983836667715
annees_2011_2014,TMH1,3,678763,0.983952637812
annees_2011_2014,TMD2,2,678842,0.984067158283
annees_2011_2014,TOD1,1,678921,0.984181678754
annees_2011_2014,2319,0,678998,0.984293299973
annees_2011_2014,TMA1,3,679075,0.984404921191
annees_2011_2014,TOJ2,2,679152,0.98451654241
annees_2011_2014,2611,2,679229,0.984628163628
annees_2011_2014,3125,0,679306,0.984739784846
annees_2011_2014,2602,0,679382,0.984849956439
annees_2011_2014,TMA2,2,679458,0.984960128031
annees_2011_2014,2749,0,679532,0.985067400371
annees_2011_2014,2454,0,679606,0.985174672711
annees_2011_2014,0640,0,679679,0.985280495424
annees_2011_2014,TMD1,3,679752,0.985386318138
annees_2011_2014,TCG2,1,679824,0.985490691225
annees_2011_2014,TOD2,0,679896,0.985595064313
annees_2011_2014,TAJ4,2,679967,0.985697987774
annees_2011_2014,3009,0,680038,0.985800911235
annees_2011_2014,1412,1,680109,0.985903834696
